nth vaddr       bind type lib                                  name
8   0x1400ad0a0 NONE FUNC KERNEL32.dll                         SleepConditionVariableSRW
9   0x1400ad0a8 NONE FUNC KERNEL32.dll                         WakeAllConditionVariable
10  0x1400ad0b0 NONE FUNC KERNEL32.dll                         AcquireSRWLockExclusive
11  0x1400ad0b8 NONE FUNC KERNEL32.dll                         ReleaseSRWLockExclusive
12  0x1400ad0c0 NONE FUNC KERNEL32.dll                         GetFileInformationByHandleEx
13  0x1400ad0c8 NONE FUNC KERNEL32.dll                         CopyFileW
14  0x1400ad0d0 NONE FUNC KERNEL32.dll                         GetModuleHandleW
15  0x1400ad0d8 NONE FUNC KERNEL32.dll                         AreFileApisANSI
16  0x1400ad0e0 NONE FUNC KERNEL32.dll                         SetFileInformationByHandle
17  0x1400ad0e8 NONE FUNC KERNEL32.dll                         GetFileInformationByHandle
18  0x1400ad0f0 NONE FUNC KERNEL32.dll                         GetFileAttributesExW
19  0x1400ad0f8 NONE FUNC KERNEL32.dll                         FindNextFileW
20  0x1400ad100 NONE FUNC KERNEL32.dll                         FindFirstFileExW
21  0x1400ad108 NONE FUNC KERNEL32.dll                         FindFirstFileW
22  0x1400ad110 NONE FUNC KERNEL32.dll                         FindClose
23  0x1400ad118 NONE FUNC KERNEL32.dll                         IsDebuggerPresent
24  0x1400ad120 NONE FUNC KERNEL32.dll                         GetLocaleInfoEx
25  0x1400ad128 NONE FUNC KERNEL32.dll                         FormatMessageA
26  0x1400ad130 NONE FUNC KERNEL32.dll                         LocalFree
27  0x1400ad138 NONE FUNC KERNEL32.dll                         IsDBCSLeadByte
28  0x1400ad140 NONE FUNC KERNEL32.dll                         GetLocaleInfoA
29  0x1400ad148 NONE FUNC KERNEL32.dll                         LoadLibraryA
30  0x1400ad150 NONE FUNC KERNEL32.dll                         GetProcAddress
31  0x1400ad158 NONE FUNC KERNEL32.dll                         FreeLibrary
32  0x1400ad160 NONE FUNC KERNEL32.dll                         QueryPerformanceFrequency
33  0x1400ad168 NONE FUNC KERNEL32.dll                         QueryPerformanceCounter
34  0x1400ad170 NONE FUNC KERNEL32.dll                         VerSetConditionMask
35  0x1400ad178 NONE FUNC KERNEL32.dll                         WideCharToMultiByte
36  0x1400ad180 NONE FUNC KERNEL32.dll                         MultiByteToWideChar
37  0x1400ad188 NONE FUNC KERNEL32.dll                         GlobalFree
38  0x1400ad190 NONE FUNC KERNEL32.dll                         GlobalLock
39  0x1400ad198 NONE FUNC KERNEL32.dll                         GlobalUnlock
40  0x1400ad1a0 NONE FUNC KERNEL32.dll                         GlobalAlloc
41  0x1400ad1a8 NONE FUNC KERNEL32.dll                         OutputDebugStringA
42  0x1400ad1b0 NONE FUNC KERNEL32.dll                         DeviceIoControl
43  0x1400ad1b8 NONE FUNC KERNEL32.dll                         GetLastError
44  0x1400ad1c0 NONE FUNC KERNEL32.dll                         WriteFile
45  0x1400ad1c8 NONE FUNC KERNEL32.dll                         SetFilePointerEx
46  0x1400ad1d0 NONE FUNC KERNEL32.dll                         SetFilePointer
47  0x1400ad1d8 NONE FUNC KERNEL32.dll                         ReadFile
48  0x1400ad1e0 NONE FUNC KERNEL32.dll                         IsProcessorFeaturePresent
49  0x1400ad1e8 NONE FUNC KERNEL32.dll                         FlushFileBuffers
50  0x1400ad1f0 NONE FUNC KERNEL32.dll                         CreateFileW
51  0x1400ad1f8 NONE FUNC KERNEL32.dll                         CreateFileA
52  0x1400ad200 NONE FUNC KERNEL32.dll                         Process32Next
53  0x1400ad208 NONE FUNC KERNEL32.dll                         Process32First
54  0x1400ad210 NONE FUNC KERNEL32.dll                         CreateToolhelp32Snapshot
55  0x1400ad218 NONE FUNC KERNEL32.dll                         OpenProcess
56  0x1400ad220 NONE FUNC KERNEL32.dll                         TerminateProcess
57  0x1400ad228 NONE FUNC KERNEL32.dll                         CloseHandle
58  0x1400ad230 NONE FUNC KERNEL32.dll                         GetTempPathA
59  0x1400ad238 NONE FUNC KERNEL32.dll                         FindResourceA
60  0x1400ad240 NONE FUNC KERNEL32.dll                         SizeofResource
61  0x1400ad248 NONE FUNC KERNEL32.dll                         LockResource
62  0x1400ad250 NONE FUNC KERNEL32.dll                         LoadResource
63  0x1400ad258 NONE FUNC KERNEL32.dll                         GetModuleHandleA
